name	country	age	gender	playcount
iveet		0	n	6777
MariusMahony		0	n	124252
dickythump		0	n	10889
AnnoyingChild	Romania	0	n	91161
Deceased66	Russian Federation	0	n	13244
rich_heartlion	Belarus	0	n	33920
necrodnepr	Ukraine	0	n	195604
aleksisyupp		0	n	20
soslowsonice		0	n	226
wiqqle	Germany	0	n	9154
zrikavo_jagnje	Croatia	0	n	268591
hi_jacker	Czech Republic	0	n	27711
breakdownbaby	United States	0	n	459
blessbabe	United Kingdom	0	n	145791
TalkActionShit	Canada	0	n	16860
hathaner	Brazil	0	n	10968
jaja250	Slovakia	0	n	37
t_ani-ani	Slovakia	0	n	14306
caffrinka		0	n	31
benchez	United Kingdom	0	n	7840
bergendy		0	n	9761
Metalanna1560	United States	0	n	962
KRII_c	Latvia	0	n	8991
ben_tindall	United Kingdom	0	n	6412
Creshmir	Belgium	0	n	17468
HersLona	Russian Federation	0	n	45173
Bombizzle		0	n	26566
gretalice	Lithuania	0	n	3744
muerto14	Venezuela	0	n	12001
mrwinstonsmith		0	n	77304
Aviolate	Poland	0	n	107708
sadfrogjpg		0	n	9847
DarkAnonym	United States	0	n	21139
Ihatemyfailures	Russian Federation	0	n	80026
mancio78	Italy	0	n	13741
JohnnyPea	Slovakia	0	n	19327
sistemablindado	Mexico	0	n	115816
xiller66	Slovakia	0	n	42133
Arantola		0	n	703
mravenec90210	Czech Republic	0	n	66503
YourTextHere	Latvia	0	n	90283
LizzyVISION		0	n	11596
ZachFireAdept07	United States	0	n	44713
Black-bla		0	n	22378
lemniscate888	Macedonia	0	n	76564
Whackhadhema	Poland	0	n	37737
incinerator	Lebanon	0	n	106013
AnarchDarkAngel	Turkey	0	n	123089
Honir	Germany	0	n	9198
entityin	Ireland	0	n	136875
CrAzY_LiSteNer		0	n	17821
falname		0	n	3682
Acksaw	United Kingdom	0	n	118841
nelalala	Czech Republic	0	n	21299
Kohovi	Finland	0	n	54367
mattusko	Czech Republic	0	n	289
Fogelmanek	Poland	0	n	55107
Akheilos	South Africa	0	n	3
trythinksmart	Czech Republic	0	n	28
zhabaa		0	n	1431
AigerNart	Russian Federation	0	n	121968
Misperception	Germany	0	n	17749
CosmicBushell	United Kingdom	0	n	62384
manray_plus	Argentina	0	n	15550
ride-the-wild	Argentina	0	n	12482
leonidgazmanov	Russian Federation	0	n	9169
Certa666		0	n	212
BroER	Czech Republic	0	n	1350
PEKADO	Spain	0	n	49049
deednb		0	n	58224
vrenclouff	Czech Republic	0	n	14774
stabtwistbob	United States	0	n	2267
notnicoletaylor	United States	0	n	38868
angie_wizard	Russian Federation	0	n	24247
vamnedam	Russian Federation	0	n	4101
TutuleBale	Macedonia	0	n	122137
rgonzale	United States	0	n	1805
lamajja	Slovakia	0	n	2496
igorrr	Slovakia	0	n	90019
bloodonmyhandsx	Brazil	0	n	55015
SamTheReaper	Ukraine	0	n	139491
BarneyJWY	United States	0	n	162391
Mightning	Czech Republic	0	n	64792
sorinko	Slovakia	0	n	8510
mistLETOe666	Russian Federation	0	n	6439
machy	Czech Republic	0	n	153794
Nachielle	Western Sahara	0	n	18
fachefaucheux	United States	0	n	73352
AbSurDMaN_	Turkey	0	n	25303
lamates	Czech Republic	0	n	838
rommily	United Kingdom	0	n	6641
Marwell_	United Kingdom	0	n	64253
dyingchant	Turkey	0	n	27070
Kimberly-Jade	Canada	0	n	149544
wintersunn	Brazil	0	n	74632
DeathMetalHead1	Czech Republic	0	n	39896
kmworth	United States	0	n	3083
haiirononeko	Denmark	0	n	25224
evgeniyuksus	Kazakhstan	0	n	151386
Bartos1	Poland	0	n	66926
Andy_In_Flames	Slovakia	0	n	38347
MarysiaHell	Greece	0	n	5687
Efonck	Colombia	0	n	48354
psychoJura	France	0	n	53044
egorovmaksim	Russian Federation	0	n	24084
Stefik911	Slovakia	0	n	27
akkinoref		0	n	24637
slnce		0	n	5657
RUSSELLxxx	Czech Republic	0	n	289836
FxMarciat	Belgium	0	n	75248
MarcoLuyken	Netherlands	0	n	33383
ToddWolf		0	n	17971
writersbloc123	United Kingdom	0	n	6096
danqo	Czech Republic	0	n	31366
JellyMadeInCCCP	United Kingdom	0	n	36799
noxious79	Italy	0	n	111199
counteffex	Germany	0	n	1502
SnapOutOflt	Portugal	0	n	134569
boubal	France	0	n	17658
janis-joplin1	Turkey	0	n	12971
beavislife13	Russian Federation	0	n	6397
xelfium	Russian Federation	0	n	32395
Jenkstill	Brazil	0	n	11336
franki_N	Russian Federation	0	n	30621
PerfectFury	Russian Federation	0	n	16363
eltopon	Italy	0	n	319972
razorhetel	Poland	0	n	124516
DirtyKurt	Czech Republic	0	n	156647
ShyXero	Poland	0	n	21933
naivelittleme	Bulgaria	0	n	2769
WALLofSOUND005	Belgium	0	n	19409
zayonchek	Poland	0	n	51089
AnthonyMarra	United States	0	n	112544
Victory_Wild	Spain	0	n	0
Vidal_K	United Kingdom	0	n	6212
vlnski	Czech Republic	0	n	116545
soirkar	Russian Federation	0	n	75154
MurdeousCry9	Canada	0	n	22952
soho_42	Slovakia	0	n	19740
KRAGOTHmmT	France	0	n	1111
Brombit	Israel	0	n	6444
animirana	Croatia	0	n	521
miss_isabela	Romania	0	n	10
ForgottenAncstr	Mexico	0	n	154127
TrentK89	United States	0	n	5250
ymccandido	Brazil	0	n	3924
XsamanthaaX	United Kingdom	0	n	64311
BD00m	Brazil	0	n	68170
toffea	France	0	n	77039
powerofdeath_	Brazil	0	n	49572
vaderdabeast	United Arab Emirates	0	n	79695
velvet-glitter	Czech Republic	0	n	86415
momotova	Portugal	0	n	0
opeth9	Hungary	0	n	41851
Lost1nTheDark	Italy	0	n	82558
stasabbath		0	n	6375
Rinhrd	Austria	0	n	93493
nanara	Slovakia	0	n	140166
negroid101	United States	0	n	25216
Osho_Eremita	Slovakia	0	n	65717
dulguldor		0	n	15
Cerebroo		0	n	22241
Eelvizzz	Russian Federation	0	n	30754
ChocoCookies	Czech Republic	0	n	2689
yellalena	Russian Federation	0	n	31920
lukastruksa		0	n	16
petoslav	Slovakia	0	n	1927
Myshkaa	France	0	n	88458
Ereis_Rayann	Czech Republic	0	n	26
igores66		0	n	29
skiki	Poland	0	n	43397
zh1ra	Spain	0	n	102783
ZEMIAL		0	n	5
whataboutmoa	Sweden	0	n	1495
npotoc	Croatia	0	n	316
Milcom666	India	0	n	42247
TheSexMagik	Slovakia	0	n	27188
Berunda	Czech Republic	0	n	20883
fuckbonjour	Canada	0	n	48516
Rahxosaur	Bosnia and Herzegovina	0	n	25006
aeikyn	Russian Federation	0	n	38310
el_bentse	Germany	0	n	161156
akakijevich		0	n	67119
DarkRogneda	Ukraine	0	n	37924
angelov72305	Russian Federation	0	n	57890
endormi	Serbia	0	n	1180
moonisch	Poland	0	n	24832
julokristoff	Slovakia	0	n	42622
jeremyryan1983	United States Minor Outlying Islands	0	n	17015
paisley_sage	Australia	0	n	3398
SellOutGirl	United States	0	n	114216
Stanislove86	Ukraine	0	n	11756
extreme1551	Portugal	0	n	10037
thaiassumpcao	Brazil	0	n	20230
dubyawhy	United States	0	n	50123
musicairlines	Greece	0	n	13478
Zorrodemama	Argentina	0	n	10766
rom1xx2	Russian Federation	0	n	84707
cancavus192	Turkey	0	n	13444
Erufue	Czech Republic	0	n	184232
XbobsX	Russian Federation	0	n	481550
krtka	Czech Republic	0	n	20650
nekpogas	Greece	0	n	21941
missyreyna		0	n	39664
Hopii	Czech Republic	0	n	95496
spouke	Ukraine	0	n	35160
Nameless_Seeker	Italy	0	n	64037
choco_coffee		0	n	22631
